ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,PlatformHaveWorkedWith
917,Spain,19333.0,Software Developer,Vercel
918,USA,174000.0,Software Developer,Microsoft Azure
922,Portugal,26852.0,Software Developer,No platform reported
923,Netherlands,53703.0,Software Developer,Microsoft Azure
925,USA,250.0,Software Developer,Amazon Web Services (AWS)
926,USA,119000.0,Software Developer,Microsoft Azure
927,Israel,183493.0,Data & AI,Amazon Web Services (AWS)
928,Russia,33613.0,Infrastructure & DevOps,Google Cloud
929,Portugal,33296.0,Infrastructure & DevOps,Cloudflare
929,Portugal,33296.0,Infrastructure & DevOps,OpenShift
929,Portugal,33296.0,Infrastructure & DevOps,VMware
930,USA,80000.0,Software Developer,No platform reported
932,USA,220000.0,Other,Amazon Web Services (AWS)
934,USA,100000.0,Software Developer,No platform reported
935,Spain,51555.0,Software Developer,Amazon Web Services (AWS)
935,Spain,51555.0,Software Developer,Microsoft Azure
935,Spain,51555.0,Software Developer,Oracle Cloud Infrastructure (OCI)
936,France,19333.0,Software Developer,Oracle Cloud Infrastructure (OCI)
936,France,19333.0,Software Developer,OVH
938,USA,170000.0,Software Developer,Amazon Web Services (AWS)
938,USA,170000.0,Software Developer,Fly.io
938,USA,170000.0,Software Developer,Netlify
938,USA,170000.0,Software Developer,Supabase
941,USA,126000.0,Software Developer,Amazon Web Services (AWS)
941,USA,126000.0,Software Developer,Digital Ocean
941,USA,126000.0,Software Developer,Microsoft Azure
942,USA,78000.0,Software Developer,No platform reported
943,USA,80000.0,Management,Amazon Web Services (AWS)
944,Bangladesh,23454.0,Software Developer,Amazon Web Services (AWS)
945,Iran,60000.0,Software Developer,Firebase
948,India,8614.0,Software Developer,Amazon Web Services (AWS)
948,India,8614.0,Software Developer,Firebase
948,India,8614.0,Software Developer,Microsoft Azure
948,India,8614.0,Software Developer,Netlify
948,India,8614.0,Software Developer,Vercel
951,Cyprus,83777.0,Software Developer,No platform reported
953,Canada,218079.0,Software Developer,Amazon Web Services (AWS)
953,Canada,218079.0,Software Developer,Digital Ocean
953,Canada,218079.0,Software Developer,Firebase
954,Indonesia,22079.0,Research & Education,Amazon Web Services (AWS)
954,Indonesia,22079.0,Research & Education,Cloudflare
954,Indonesia,22079.0,Research & Education,Digital Ocean
954,Indonesia,22079.0,Research & Education,Google Cloud
954,Indonesia,22079.0,Research & Education,Netlify
954,Indonesia,22079.0,Research & Education,Render
954,Indonesia,22079.0,Research & Education,Supabase
954,Indonesia,22079.0,Research & Education,Vercel
