ResponseId,Age,Country_Normalized,ConvertedCompYearly,PlatformWantToWorkWith
31240,25-34 years old,India,10349.0,Heroku
31240,25-34 years old,India,10349.0,Microsoft Azure
31240,25-34 years old,India,10349.0,OpenStack
31240,25-34 years old,India,10349.0,VMware
31241,35-44 years old,Kazakhstan,132927.0,Google Cloud
31242,45-54 years old,Australia,70691.0,Amazon Web Services (AWS)
31242,45-54 years old,Australia,70691.0,Google Cloud
31242,45-54 years old,Australia,70691.0,Microsoft Azure
31244,25-34 years old,Colombia,8559.0,Netlify
31244,25-34 years old,Colombia,8559.0,Vercel
31250,35-44 years old,USA,196000.0,"Linode, now Akamai"
31251,25-34 years old,Australia,72673.0,Digital Ocean
31251,25-34 years old,Australia,72673.0,Microsoft Azure
31251,25-34 years old,Australia,72673.0,Netlify
31253,25-34 years old,Australia,132132.0,Amazon Web Services (AWS)
31253,25-34 years old,Australia,132132.0,Vercel
31254,45-54 years old,Australia,102667.0,No platform reported
31258,18-24 years old,India,8614.0,Amazon Web Services (AWS)
31258,18-24 years old,India,8614.0,Render
31258,18-24 years old,India,8614.0,Vercel
31259,18-24 years old,Australia,52853.0,Cloudflare
31259,18-24 years old,Australia,52853.0,Digital Ocean
31259,18-24 years old,Australia,52853.0,Fly.io
31260,18-24 years old,Australia,52853.0,Cloudflare
31260,18-24 years old,Australia,52853.0,Fly.io
31260,18-24 years old,Australia,52853.0,Vercel
31263,35-44 years old,Switzerland,66850.0,Cloudflare
31265,45-54 years old,Mexico,2911.0,No platform reported
31278,45-54 years old,Australia,109009.0,No platform reported
31279,25-34 years old,India,7322.0,Amazon Web Services (AWS)
31279,25-34 years old,India,7322.0,Cloudflare
31281,25-34 years old,Sri Lanka,527.0,Digital Ocean
31281,25-34 years old,Sri Lanka,527.0,Google Cloud
31281,25-34 years old,Sri Lanka,527.0,Microsoft Azure
31282,55-64 years old,Italy,51555.0,Microsoft Azure
31284,25-34 years old,USA,200000.0,Amazon Web Services (AWS)
31285,45-54 years old,USA,200000.0,Amazon Web Services (AWS)
31285,45-54 years old,USA,200000.0,Digital Ocean
31285,45-54 years old,USA,200000.0,"Linode, now Akamai"
31288,35-44 years old,USA,220000.0,Amazon Web Services (AWS)
31288,35-44 years old,USA,220000.0,Fly.io
31288,35-44 years old,USA,220000.0,Render
31294,18-24 years old,Ukraine,1229.0,No platform reported
31296,18-24 years old,India,2393.0,Amazon Web Services (AWS)
31296,18-24 years old,India,2393.0,Digital Ocean
31298,45-54 years old,United Arab Emirates,163359.0,No platform reported
31300,18-24 years old,India,1196.0,No platform reported
31307,18-24 years old,Australia,69369.0,Amazon Web Services (AWS)
31308,35-44 years old,USA,180000.0,Amazon Web Services (AWS)
31308,35-44 years old,USA,180000.0,Databricks
31308,35-44 years old,USA,180000.0,Digital Ocean
31308,35-44 years old,USA,180000.0,Google Cloud
31308,35-44 years old,USA,180000.0,Scaleway
31309,35-44 years old,USA,51000.0,Amazon Web Services (AWS)
31310,18-24 years old,USA,3129.0,No platform reported
31312,35-44 years old,Georgia,65000.0,No platform reported
31313,25-34 years old,Mexico,51213.0,No platform reported
31314,35-44 years old,Netherlands,128887.0,Microsoft Azure
31315,45-54 years old,Australia,115615.0,Amazon Web Services (AWS)
31315,45-54 years old,Australia,115615.0,Microsoft Azure
31316,35-44 years old,USA,156000.0,No platform reported
31317,45-54 years old,USA,220000.0,Amazon Web Services (AWS)
31317,45-54 years old,USA,220000.0,Microsoft Azure
31319,25-34 years old,Japan,190932.0,Amazon Web Services (AWS)
31319,25-34 years old,Japan,190932.0,Cloudflare
31319,25-34 years old,Japan,190932.0,Fly.io
31319,25-34 years old,Japan,190932.0,Supabase
31320,18-24 years old,Russia,14566.0,No platform reported
31327,18-24 years old,Brazil,24243.0,Amazon Web Services (AWS)
31332,25-34 years old,Australia,161862.0,Amazon Web Services (AWS)
31332,25-34 years old,Australia,161862.0,Microsoft Azure
